human_gene_symbols,dmel_gene_id,dmel_gene_symbol,cell_type_id,cell_type_name,max_spread,max_mean_expression,supporting_rows,within_gene_rank
CDH8,FBgn0262018,CadN2,FBbt:00003743,centrifugal neuron C2,0.836653,6499.146467,18,3
CDH8,FBgn0262018,CadN2,FBbt:00058247,adult pheromone-sensing neuron,0.791667,7452.035853,14,4
CDH8,FBgn0262018,CadN2,FBbt:00100482,lobula columnar neuron LC10,0.744681,3927.618258,14,5
ADGRL3,FBgn0033313,Cirl,FBbt:00048471,nociceptive neuron,1.0,2786.00353,6,1
ADGRL3,FBgn0033313,Cirl,FBbt:00058203,adult octopaminergic neuron,1.0,1785.621678,15,2
ADGRL3,FBgn0033313,Cirl,FBbt:00048284,adult multidendritic neuron,0.969697,2318.744487,10,3
ADGRL3,FBgn0033313,Cirl,FBbt:00057009,head cyst cell,0.968191,1294.463708,4,4
ADGRL3,FBgn0033313,Cirl,FBbt:00005209,multidendritic neuron,0.95122,2499.490575,6,5
CUBN,FBgn0052702,Cubn,FBbt:00058251,adult perineurial glial cell,0.166667,1135.61785,11,1
CUBN,FBgn0052702,Cubn,FBbt:00057009,head cyst cell,0.126574,166.921899,4,2
CUBN,FBgn0052702,Cubn,FBbt:00049568,leg muscle motor neuron,0.109312,520.5622,16,3
CUBN,FBgn0052702,Cubn,FBbt:00004211,photoreceptor neuron,0.097222,732.42215,19,4
CUBN,FBgn0052702,Cubn,FBbt:00003784,medulla intrinsic neuron Mi9,0.086957,1596.1718,11,5
SLC6A3 | SLC6A9,FBgn0034136,DAT,FBbt:00100214,adult dopaminergic PAM neuron,1.0,9122.200923,17,1
SLC6A3 | SLC6A9,FBgn0034136,DAT,FBbt:00058206,adult dopaminergic neuron,0.962963,10085.797322,19,2
SLC6A3 | SLC6A9,FBgn0034136,DAT,FBbt:00111285,medulla intrinsic neuron Mi15,0.912134,2974.497423,17,3
SLC6A3 | SLC6A9,FBgn0034136,DAT,FBbt:00049834,adult alpha'/beta' Kenyon cell,0.714286,1508.295217,8,4
SLC6A3 | SLC6A9,FBgn0034136,DAT,FBbt:00100525,adult optic chiasma glial cell,0.492537,1649.55292,17,5
FOXP1 | FOXP2,FBgn0262477,FoxP,FBbt:00003771,distal medullary amacrine neuron Dm4,0.96,737.63748,1,1
FOXP1 | FOXP2,FBgn0262477,FoxP,FBbt:00111746,lobula columnar neuron LC10c,0.933333,1529.180907,1,2
FOXP1 | FOXP2,FBgn0262477,FoxP,FBbt:00048896,lineage 16 secondary neuron,0.909471,1360.80465,1,3
FOXP1 | FOXP2,FBgn0262477,FoxP,FBbt:00051466,hemilineage 11A secondary neuron,0.900369,1348.793607,1,4
FOXP1 | FOXP2,FBgn0262477,FoxP,FBbt:00048903,lineage 4 secondary neuron,0.900281,1476.967588,1,5
GNAI2 | GNAT1,FBgn0001104,Galphai,FBbt:00057009,head cyst cell,0.664679,351.98701,4,1
GNAI2 | GNAT1,FBgn0001104,Galphai,FBbt:00100501,adult brain cell body glial cell,0.638783,1269.677742,20,2
GNAI2 | GNAT1,FBgn0001104,Galphai,FBbt:00047841,adult astrocyte-like glial cell,0.545455,2568.175888,33,3
